,title,studio,year,domestic_gross,foreign_gross,total_gross
476,Potiche,MBox,2011,1600000,21600000,23200000
477,Warrior,LGF,2011,13700000,9400000,23100000
478,Young Adult,Par.,2011,16300000,6600000,22900000
479,Sarah's Key,Wein.,2011,7700000,13400000,21100000
480,The Way Back,NM,2011,2700000,17600000,20300000
481,A Separation,SPC,2011,7100000,12800000,19900000
482,The Guard,SPC,2011,5400000,14200000,19600000
483,Margin Call,RAtt.,2011,5400000,14200000,19600000
484,Glee The 3D Concert Movie,Fox,2011,11900000,6800000,18700000
485,Shame,FoxS,2011,3900000,13800000,17700000
486,13 Assassins,Magn.,2011,803000,16800000,17603000
487,Hoodwinked Too! Hood vs. Evil,Wein.,2011,10100000,6800000,16900000
488,The Heir Apparent: Largo Winch,MBox,2011,10400,16900000,16910400
489,The Last Godfather,RAtt.,2011,164000,16600000,16764000
490,Delhi Belly,UTV,2011,1500000,15200000,16700000
491,Melancholia,Magn.,2011,3000000,12900000,15900000
492,Judy Moody and the NOT Bummer Summer,Rela.,2011,15000000,678000,15678000
493,The Conspirator,RAtt.,2011,11500000,3900000,15400000
494,Anonymous,Sony,2011,4500000,10900000,15400000
495,Ip Man 2: Legend of the Grandmaster,Vari.,2011,206000,14900000,15106000
496,The Housemaid,IFC,2011,158000,14600000,14758000
497,Desert Flower,NGE,2011,44300,14600000,14644300
498,Pina,IFC,2011,3500000,11100000,14600000
499,Beginners,Focus,2011,5800000,8500000,14300000
500,My Afternoons with Margueritte,Cohen,2011,667000,13600000,14267000
501,I Saw the Devil,Magn.,2011,129000,12600000,12729000
502,The Hedgehog,NeoC,2011,708000,12000000,12708000
503,Gainsbourg: A Heroic Life,MBox,2011,233000,12000000,12233000
504,The Warring States,CL,2011,69000,11800000,11869000
505,What Women Want (Wo Zhi Nu Run Xin),CL,2011,124000,11700000,11824000
506,Snow Flower and the Secret Fan,FoxS,2011,1300000,10000000,11300000
507,Win Win,FoxS,2011,10200000,652000,10852000
508,Flying Monsters,NGE,2011,5700000,5100000,10800000
509,City of Life and Death,Kino,2011,123000,10600000,10723000
510,Le Havre,Jan.,2011,612000,9900000,10512000
511,Straw Dogs (2011),SGem,2011,10300000,0,10300000
512,Prom,BV,2011,10100000,0,10100000
513,In a Better World,SPC,2011,1000000,8600000,9600000
514,Trespass (2011),MNE,2011,24100,9600000,9624100
515,Saving Private Perez,LGF,2011,1400000,7900000,9300000
516,Point Blank,Magn.,2011,708000,8500000,9208000
517,Winter in Wartime,SPC,2011,543000,8700000,9243000
518,Barney's Version (U.S. only),SPC,2011,4400000,4000000,8400000
519,Outrage (2011),Magn.,2011,44700,8400000,8444700
520,Senna,PDA,2011,1600000,6600000,8200000
521,Last Night,Trib.,2011,99000,7600000,7699000
522,The Big Year,Fox,2011,7200000,244000,7444000
523,The Beaver,Sum.,2011,971000,6300000,7271000
524,Take Me Home Tonight,Rela.,2011,6900000,0,6900000
525,Cedar Rapids,FoxS,2011,6900000,0,6900000
526,The Princess of Montpensier,IFC,2011,352000,6400000,6752000
527,Cave of Forgotten Dreams,IFC,2011,5300000,1200000,6500000
528,Sex and Zen 3D: Extreme Ecstasy,CL,2011,153000,6200000,6353000
529,We Need to Talk About Kevin,Osci.,2011,1700000,4300000,6000000
530,Attack the Block,SGem,2011,1000000,4800000,5800000
531,Even the Rain,Vita.,2011,518000,5300000,5818000
532,Young Goethe in Love,MBox,2011,162000,5600000,5762000
533,11-11-11,Rocket,2011,32800,5700000,5732800
534,Certified Copy,IFC,2011,1400000,4099999,5499999
535,Thank You (2011),UTV,2011,464000,5000000,5464000
536,The Company Men,Wein.,2011,4400000,441000,4841000
538,Tucker & Dale Vs. Evil,Magn.,2011,224000,4500000,4724000
539,London Boulevard,IFC,2011,16100,4600000,4616100
540,Dylan Dog: Dead of Night,OMNI/FSR,2011,1200000,3400000,4600000
541,The Names of Love,MBox,2011,514000,4099999,4613999
542,The Way,PDA,2011,4400000,0,4400000
543,Burke and Hare,IFC,2011,4800,4300000,4304800
544,King of Devil's Island,FM,2011,7600,4200000,4207600
545,Bride Flight,MBox,2011,501000,3700000,4201000
546,Trollhunter,Magn.,2011,253000,3900000,4153000
547,Buck,IFC,2011,4000000,0,4000000
548,Carancho,Strand,2011,85500,3900000,3985500
549,Like Crazy,ParV,2011,3400000,336000,3736000
550,The Double,Imag.,2011,138000,3600000,3738000
551,Don 2,Relbig.,2011,3700000,0,3700000
552,Love Crime,IFC,2011,540000,3100000,3640000
553,Incendies (U.S. only),SPC,2011,2100000,1500000,3600000
554,Martha Marcy May Marlene,FoxS,2011,3000000,548000,3548000
555,Fireflies in the Garden,,2011,70600,3300000,3370600
556,The King's Speech (PG-13),Wein.,2011,3300000,0,3300000
557,Machine Gun Preacher,Rela.,2011,539000,2800000,3339000
558,The Last Circus,Magn.,2011,40500,3200000,3240500
559,From Prada to Nada,LGF,2011,3000000,123000,3123000
560,Flypaper,IFC,2011,5000,3100000,3105000
561,Zindagi Na Milegi Dobara,Eros,2011,3100000,0,3100000
562,Take Shelter,SPC,2011,1700000,1400000,3100000
563,The Greatest Miracle,KKM,2011,555000,2500000,3055000
564,Rapt,Lorb.,2011,45800,2900000,2945800
565,Pastorela,LGF,2011,161000,2700000,2861000
566,The Double Hour,Gold.,2011,1500000,1200000,2700000
567,Everything Must Go,RAtt.,2011,2700000,0,2700000
568,3 (2011),Strand,2011,60000,2600000,2660000
569,Oranges and Sunshine,Cohen,2011,143000,2400000,2543000
570,Ong Bak 3,Magn.,2011,14900,2300000,2314900
571,Poetry,Kino,2011,356000,1900000,2256000
572,The Tree,Zeit.,2011,71200,2100000,2171200
573,"The Butcher, the Chef and the Swordsman",CL,2011,47900,2000000,2047900
574,The Trip (2011),IFC,2011,2000000,0,2000000
575,Armadillo,Lorb.,2011,14600,2000000,2014600
576,Bodyguard,Relbig.,2011,1800000,0,1800000
577,Brighton Rock,IFC,2011,230000,1600000,1830000
578,A Somewhat Gentle Man,Strand,2011,37700,1800000,1837700
579,The Topp Twins: Untouchable Girls,Argo.,2011,29300,1800000,1829300
580,Another Earth,FoxS,2011,1300000,456000,1756000
581,A Better Life,Sum.,2011,1800000,0,1800000
582,Chalet Girl,IFC,2011,1700,1700000,1701700
583,Yamla Pagla Deewana,Eros,2011,993000,600000,1593000
584,Bill Cunningham New York,Zeit.,2011,1500000,0,1500000
585,The Art of Getting By,FoxS,2011,1400000,0,1400000
586,The Devil's Double,LGF,2011,1400000,0,1400000
587,Uncle Boonmee Who Can Recall His Past Lives,Strand,2011,184000,946000,1130000
588,The Whistleblower,Gold.,2011,1100000,0,1100000
589,Red State,SMod,2011,1100000,0,1100000
590,London River,Libre,2011,7200,1100000,1107200
591,Desi Boyz,Eros,2011,1100000,0,1100000
592,When We Leave (Die Fremde),Olive,2011,19600,1100000,1119600
593,There Be Dragons,Gold.,2011,1100000,0,1100000
594,Vanishing on 7th Street,Magn.,2011,22700,1000000,1022700
595,Page One: A Year Inside the New York Times,Magn.,2011,1100000,0,1100000
596,The Time That Remains,IFC,2011,32900,1000000,1032900
597,Rockstar (2011),Eros,2011,987000,0,987000
598,Meek's Cutoff,Osci.,2011,978000,0,978000
599,Texas Killing Fields,Anch.,2011,45500,912000,957500
600,Ready,Eros,2011,955000,0,955000
601,Miral,Wein.,2011,373000,527000,900000
602,Submarine,Wein.,2011,468000,397000,865000
603,Higher Ground,SPC,2011,842000,0,842000
604,Mozart's Sister,MBox,2011,708000,132000,840000
605,Plastic Planet,FRun,2011,3200,836000,839200
606,Chillar Party,UTV,2011,6300,826000,832300
607,Mausam,Eros,2011,728000,0,728000
608,The First Grader,NGE,2011,332000,382000,714000
609,Hobo With a Shotgun,Magn.,2011,703000,0,703000
610,Tabloid,IFC,2011,697000,0,697000
611,Dhobi Ghat (Mumbai Diaries),UTV,2011,577000,102000,679000
612,Aarakshan (Reservation),Relbig.,2011,651000,0,651000
613,POM Wonderful Presents: The Greatest Movie Ever Sold,SPC,2011,638000,0,638000
614,No One Killed Jessica,UTV,2011,441000,193000,634000
615,Korkoro,Lorb.,2011,8200,619000,627200
616,Blackthorn,Magn.,2011,201000,423000,624000
617,How I Ended This Summer,FM,2011,8700,614000,622700
618,The Ledge,IFC,2011,9200,602000,611200
619,Heartbeats,IFC,2011,68700,520000,588700
620,The Future,RAtt.,2011,569000,0,569000
621,Dum Maaro Dum,FoxS,2011,564000,0,564000
622,Double Dhamaal,Relbig.,2011,544000,0,544000
623,Kaboom,IFC,2011,119000,421000,540000
624,Mere Brother Ki Dulhan,Yash,2011,496000,0,496000
625,Weekend (2011),IFC,2011,485000,0,485000
626,Protektor,FM,2011,3000,469000,472000
627,Circumstance,RAtt.,2011,454000,0,454000
628,The Other Woman,IFC,2011,25400,427000,452400
629,Project Nim,RAtt.,2011,411000,0,411000
630,Rage (Rabia),Strand,2011,5600,403000,408600
631,The Human Resources Manager,FM,2011,64000,329000,393000
632,Hesher,WHE,2011,383000,0,383000
633,7 Khoon Maaf,UTV,2011,270000,94700,364700
634,Another Happy Day,P4,2011,8500,347000,355500
635,Singham,Relbig.,2011,351000,0,351000
636,The Mill and the Cross,KC,2011,312000,30300,342300
637,Super,IFC,2011,328000,0,328000
638,L'Amour Fou,IFC,2011,312000,0,312000
639,Being Elmo: A Puppeteer's Journey,SD,2011,304000,0,304000
640,In the Land of Blood and Honey,FD,2011,304000,0,304000
641,Special Treatment,FRun,2011,8900,286000,294900
642,Illegal (2011),FM,2011,700,289000,289700
643,The Interrupters,CGld,2011,282000,0,282000
644,Rascals,Eros,2011,274000,0,274000
645,The Black Power Mix Tape: 1967-1975,IFC,2011,274000,0,274000
646,Black Death,Magn.,2011,22600,243000,265600
647,Le Quattro Volte,Lorb.,2011,153000,103000,256000
648,Life in a Day,NGE,2011,253000,0,253000
649,Caterpillar,Lorb.,2011,4200,248000,252200
650,Little Girl (La Pivellina),FRun,2011,1400,236000,237400
651,El Bulli: Cooking in Progress,AM,2011,237000,0,237000
652,"If I Want to Whistle, I Whistle",FM,2011,12100,220000,232100
653,Into the Abyss,IFC,2011,224000,0,224000
654,HappyThankYouMorePlease,Anch.,2011,216000,0,216000
655,The Robber,Kino,2011,83500,125000,208500
656,Henry's Crime,MPFT,2011,103000,102000,205000
657,A Good Old Fashioned Orgy,Gold.,2011,200000,0,200000
658,Film Socialisme,Lorb.,2011,33000,159000,192000
659,Bol,Eros,2011,189000,0,189000
660,Leap Year (2011),Strand,2011,13000,175000,188000
661,A Screaming Man,FM,2011,9900,175000,184900
662,Jig,Scre.,2011,184000,0,184000
663,Nostalgia for the Light,Icar.,2011,164000,13700,177700
664,Anchor Baby,AGF,2011,15800,161000,176800
665,Bellflower,Osci.,2011,168000,0,168000
666,Restless (2011),SPC,2011,163000,0,163000
667,Road to Nowhere,Mont.,2011,40300,121000,161300
668,Magic Trip,Magn.,2011,155000,0,155000
669,Eames: The Architect and the Painter,FRun,2011,153000,0,153000
670,Revenge of the Electric Car,A23,2011,151000,0,151000
671,The Human Centipede 2: Full Sequence,IFC,2011,142000,0,142000
672,Cold Weather,IFC,2011,141000,0,141000
673,Game (2011),Eros,2011,140000,0,140000
674,1911,Vari.,2011,136000,0,136000
675,"Life, Above All",SPC,2011,134000,0,134000
676,Tomboy (2011),Da.,2011,130000,0,130000
677,Octubre,NYer,2011,32100,96700,128800
678,The Arbor,Strand,2011,21600,105000,126600
679,Mysteries of Lisbon,MBox,2011,111000,14900,125900
680,Vidal Sassoon: The Movie,P4,2011,86000,38600,124600
681,Trust (2011),MNE,2011,120000,0,120000
682,Steve Jobs: The Lost Interview,Magn.,2011,106000,0,106000
683,Rubber,Magn.,2011,100000,0,100000
684,The Man Who Fell to Earth (35th anniversary re-issue),Rialto,2011,100000,0,100000
685,Chalo Dilli,Eros,2011,94300,0,94300
686,The Whale,Pala.,2011,81900,0,81900
687,Beautiful Boy,Anch.,2011,77200,0,77200
688,Puncture,MNE,2011,68900,0,68900
689,A Beautiful Life,CL,2011,66200,0,66200
690,"Tuesday, After Christmas",Lorb.,2011,27800,36200,64000
691,Viva Riva!,MBox,2011,61800,0,61800
692,Murder 2,Eros,2011,59500,0,59500
693,Dirty Girl,Wein.,2011,55100,0,55100
694,Battleship Potemkin (2011 re-issue),Kino,2011,51200,0,51200
695,Love U Mr. Kalakaar,Eros,2011,48600,0,48600
696,Margaret,FoxS,2011,46500,0,46500
697,"Happy, Happy",Magn.,2011,45200,0,45200
698,The Myth of the American Sleepover,IFC,2011,41000,0,41000
699,Hell and Back Again,DF,2011,40600,0,40600
700,Khodorkovsky,KL,2011,39500,0,39500
701,Sleeping Beauty (2011) (II),IFC,2011,36600,0,36600
702,My Kingdom (2011),CL,2011,36500,0,36500
703,Love in Space,CL,2011,34800,0,34800
704,Stake Land,IFC,2011,33200,0,33200
705,Brotherhood (2011),P4,2011,19700,12700,32400
706,The Son of No One,Anch.,2011,30700,0,30700
707,Muran,UTV,2011,30100,0,30100
708,The Sleeping Beauty,Strand,2011,29100,0,29100
709,Tyrannosaur,Strand,2011,22300,0,22300
710,Ceremony,Magn.,2011,22300,0,22300
711,I'm Glad My Mother is Alive,Strand,2011,8700,13200,21900
712,Always Kabhi Kabhi,Eros,2011,21400,0,21400
714,5 Days of War,Anch.,2011,17500,0,17500
715,Aurora,CGld,2011,5700,5100,10800
716,Magic to Win,CL,2011,10700,0,10700
717,Wrecked,IFC,2011,8000,0,8000
718,My Piece of the Pie,IFC,2011,6900,0,6900
719,I Melt With You,Magn.,2011,6400,0,6400
720,My Joy,KL,2011,6300,0,6300
721,To Die Like a Man,Strand,2011,4000,900,4900
722,Blood Ties,ALP,2011,2800,0,2800
723,Knuckle,Vita.,2011,2600,0,2600
724,Main Street,Magn.,2011,2600,0,2600
725,"Love, Wedding, Marriage",IFC,2011,1900,0,1900
726,An Invisible Sign,IFC,2011,1300,0,1300
727,Marvel's The Avengers,BV,2012,623400000,895500000,1518900000
728,Skyfall,Sony,2012,304400000,804200000,1108600000
729,The Dark Knight Rises,WB,2012,448100000,636800000,1084900000
730,The Hobbit: An Unexpected Journey,WB (NL),2012,303000000,718100000,1021100000
731,Ice Age: Continental Drift,Fox,2012,161300000,715900000,877200000
732,The Twilight Saga: Breaking Dawn Part 2,LG/S,2012,292300000,537400000,829700000
733,The Amazing Spider-Man,Sony,2012,262000000,495900000,757900000
734,Madagascar 3: Europe's Most Wanted,P/DW,2012,216400000,530500000,746900000
735,The Hunger Games,LGF,2012,408000000,286400000,694400000
736,MIB 3,Sony,2012,179000000,445000000,624000000
737,Life of Pi,Fox,2012,125000000,484000000,609000000
738,Ted,Uni.,2012,218800000,330600000,549400000
739,Brave,BV,2012,237300000,303200000,540500000
740,Wreck-It Ralph,BV,2012,189400000,281800000,471200000
741,Les Miserables (2012),Uni.,2012,148800000,293000000,441800000
742,The Intouchables (U.S.-only),Wein.,2012,10200000,416400000,426600000
743,Django Unchained,Wein.,2012,162800000,262600000,425400000
744,Prometheus,Fox,2012,126500000,276900000,403400000
745,Snow White and the Huntsman,Uni.,2012,155300000,241300000,396600000
746,Taken 2,Fox,2012,139900000,236300000,376200000
747,Hotel Transylvania,Sony,2012,148300000,210100000,358400000
748,Dr. Seuss' The Lorax,Uni.,2012,214000000,134800000,348800000
749,Titanic 3D,Par.,2012,57900000,285700000,343600000
750,Journey 2: The Mysterious Island,WB (NL),2012,103900000,231400000,335300000
751,The Expendables 2,LGF,2012,85000000,229900000,314900000
752,Rise of the Guardians,P/DW,2012,103400000,203500000,306900000
753,Wrath of the Titans,WB,2012,83700000,221600000,305300000
754,Battleship,Uni.,2012,65400000,237600000,303000000
755,John Carter,BV,2012,73100000,211100000,284200000
756,The Bourne Legacy,Uni.,2012,113200000,162900000,276100000
757,Lincoln,BV,2012,182200000,93100000,275300000
758,Dark Shadows,WB,2012,79700000,165800000,245500000
759,Resident Evil: Retribution,SGem,2012,42300000,197700000,240000000
760,Silver Linings Playbook,Wein.,2012,132100000,104300000,236400000
761,American Reunion,Uni.,2012,57000000,178000000,235000000
762,Argo,WB,2012,136000000,96300000,232300000
763,Jack Reacher,Par.,2012,80100000,138300000,218400000
764,Safe House,Uni.,2012,126400000,81700000,208100000
765,21 Jump Street,Sony,2012,138400000,63100000,201500000
766,Total Recall (2012),Sony,2012,58900000,139600000,198500000
767,The Vow,SGem,2012,125000000,71100000,196100000
768,Mirror Mirror,Rela.,2012,64900000,118100000,183000000
769,The Impossible,LG/S,2012,19000000,161300000,180300000
770,The Dictator,Par.,2012,59700000,119700000,179400000
771,Looper,TriS,2012,66500000,110000000,176500000
772,Magic Mike,WB,2012,113700000,53500000,167200000
773,Flight,Par.,2012,93800000,68000000,161800000
774,Underworld Awakening,SGem,2012,62300000,97800000,160100000
775,This Means War,Fox,2012,54800000,101700000,156500000
776,The Secret World of Arrietty,BV,2012,19200000,126400000,145600000
777,Paranormal Activity 4,Par.,2012,53900000,88900000,142800000
778,Step Up Revolution,LG/S,2012,35100000,105400000,140500000
779,The Best Exotic Marigold Hotel,FoxS,2012,46400000,90400000,136800000
780,Zero Dark Thirty,Sony,2012,95700000,37100000,132800000
781,Ghost Rider: Spirit of Vengeance,Sony,2012,51800000,80800000,132600000
782,Cloud Atlas,WB,2012,27100000,103400000,130500000
783,The Woman in Black,CBS,2012,54300000,73400000,127700000
784,Chronicle (2012),Fox,2012,64599999,62100000,126699999
785,The Pirates! Band of Misfits,Sony,2012,31100000,92000000,123100000
786,Parental Guidance,Fox,2012,77300000,42500000,119800000
787,Abraham Lincoln: Vampire Hunter,Fox,2012,37500000,79000000,116500000
788,Pitch Perfect,Uni.,2012,65000000,50300000,115300000
789,Hope Springs,Sony,2012,63500000,50700000,114200000
790,ParaNorman,Focus,2012,56000000,51100000,107100000
791,The Campaign,WB,2012,86900000,18000000,104900000
792,Let the Bullets Fly,Vari.,2012,63000,104300000,104363000
793,Star Wars: Episode I - The Phantom Menace (in 3D),Fox,2012,43500000,59300000,102800000
794,Project X,WB,2012,54700000,48000000,102700000
795,The Devil Inside,Par.,2012,53300000,48500000,101800000
796,The Lucky One,WB,2012,60500000,38900000,99400000
797,Contraband,Uni.,2012,66500000,29700000,96200000
798,Think Like a Man,SGem,2012,91500000,4500000,96000000
799,This Is 40,Uni.,2012,67500000,20500000,88000000
800,The Inbetweeners Movie,WHE,2012,36000,88000000,88036000
801,The Possession,LGF,2012,49100000,36300000,85400000
802,What to Expect When You're Expecting,LGF,2012,41200000,43200000,84400000
803,The Thieves,WGUSA,2012,686000,82800000,83486000
804,Savages (2012),Uni.,2012,47400000,35600000,83000000
805,Frankenweenie,BV,2012,35300000,46200000,81500000
806,Act of Valor,Rela.,2012,70000000,11300000,81300000
807,Masquerade (2012),CJ,2012,923000,79800000,80723000
808,Sinister,LG/S,2012,48100000,29600000,77700000
809,The Grey,ORF,2012,51600000,25700000,77300000
810,Diary of a Wimpy Kid: Dog Days,Fox,2012,49000000,28100000,77100000
811,To Rome with Love,SPC,2012,16700000,56600000,73300000
812,Here Comes the Boom,Sony,2012,45300000,27800000,73100000
813,Finding Nemo (3D),BV,2012,41100000,28200000,69300000
814,Anna Karenina,Focus,2012,12800000,56100000,68900000
815,The Watch,Fox,2012,35400000,32900000,68300000
816,Moonrise Kingdom,Focus,2012,45500000,22800000,68300000
817,Tyler Perry's Madea's Witness Protection,LGF,2012,65700000,1200000,66900000
818,The Cabin in the Woods,LGF,2012,42100000,24400000,66500000
819,Beauty and the Beast (3D),BV,2012,47600000,14400000,62000000
820,Rock of Ages,WB (NL),2012,38500000,20900000,59400000
821,That's My Boy,Sony,2012,36900000,20800000,57700000
822,The Odd Life of Timothy Green,BV,2012,51900000,4200000,56100000
823,The Three Stooges,Fox,2012,44300000,10500000,54800000
824,The Five-Year Engagement,Uni.,2012,28800000,25100000,53900000
825,Lawless,Wein.,2012,37400000,16300000,53700000
826,Silent Hill: Revelation 3D,ORF,2012,17500000,34800000,52300000
827,Red Tails,Fox,2012,49900000,489000,50389000
828,"Monsters, Inc. (3D)",BV,2012,34000000,16200000,50200000
829,Trouble with the Curve,WB,2012,35800000,13200000,49000000
830,Little White Lies,MPI,2012,206000,48300000,48506000
831,End of Watch,ORF,2012,41000000,7100000,48100000
832,Man on a Ledge,LG/S,2012,18600000,27600000,46200000
833,Red Dawn (2012),FD,2012,44800000,0,44800000
834,House at the End of The Street,Rela.,2012,31600000,12700000,44300000
835,The Guilt Trip,Par.,2012,37100000,4700000,41800000
836,A Werewolf Boy,CJ,2012,343000,41300000,41643000
837,Safe (2012),LGF,2012,17100000,23200000,40300000
838,Killing Them Softly,Wein.,2012,15000000,22900000,37900000
839,Chernobyl Diaries,WB,2012,18100000,19000000,37100000
840,One For the Money,LGF,2012,26400000,10500000,36900000
841,Dredd,LGF,2012,13400000,22200000,35600000
842,Tyler Perry's Good Deeds,LGF,2012,35000000,553000,35553000
843,Arbitrage,RAtt.,2012,7900000,27600000,35500000
844,Chimpanzee,BV,2012,29000000,5900000,34900000
845,Alex Cross,LG/S,2012,25900000,8700000,34600000
846,Salmon Fishing in the Yemen,CBS,2012,9000000,25500000,34500000
847,Fetih 1453: The Conquest of Constantinople,NeoC,2012,35700,34400000,34435700
848,Cirque Du Soleil: Worlds Away,Par.,2012,12500000,21600000,34100000
849,The Perks of Being a Wallflower,LG/S,2012,17700000,15600000,33300000
850,Haywire,Rela.,2012,18900000,14400000,33300000
851,Katy Perry: Part of Me,Par.,2012,25300000,7400000,32700000
852,Lockout,FD,2012,14300000,17900000,32200000
853,Joyful Noise,WB,2012,30900000,226000,31126000
854,Premium Rush,Sony,2012,20300000,10800000,31100000
855,The Raven,Rela.,2012,16000000,13600000,29600000
856,Rowdy Rathore,UTV,2012,777000,28600000,29377000
857,Dragon (2012),RTWC,2012,11100,29100000,29111100
858,Bol Bachchan,FIP,2012,1200000,27600000,28800000
859,The Master,Wein.,2012,16399999,11900000,28299999
860,Rust and Bone,SPC,2012,2100000,23700000,25800000
861,Big Miracle,Uni.,2012,20200000,4600000,24800000
862,Sparkle (2012),TriS,2012,24400000,240000,24640000
863,To the Arctic (IMAX),WB,2012,14600000,9100000,23700000
864,Hitchcock,FoxS,2012,6000000,17600000,23600000
865,A Thousand Words,P/DW,2012,18500000,3600000,22100000
866,Wanderlust,Uni.,2012,17500000,4200000,21700000
867,Beasts of the Southern Wild,FoxS,2012,12800000,8300000,21100000
868,Polisse,IFC,2012,211000,20200000,20411000
869,Amour,SPC,2012,6700000,13100000,19800000
870,The Man with the Iron Fists,Uni.,2012,15600000,4099999,19699999
872,Seven Psychopaths,CBS,2012,15000000,4400000,19400000
873,Gone,LG/S,2012,11700000,6400000,18100000
874,Norwegian Wood,RF,2012,13000,17600000,17613000
875,The Cold Light of Day,LG/S,2012,3800000,13100000,16900000
876,My Way (2012),CJ,2012,70200,16500000,16570200
877,Tomorrow When the War Began,Free,2012,4900,16500000,16504900
878,We Have a Pope,IFC,2012,548000,15600000,16148000
879,Headhunters,Magn.,2012,1200000,14500000,15700000
880,Hit and Run,ORF,2012,13700000,704000,14404000
881,War of the Buttons (2012),Wein.,2012,47800,13800000,13847800
882,Red Lights (2012),MNE,2012,52600,13500000,13552600
883,The Words,CBS,2012,11500000,1700000,13200000
884,Playing for Keeps,FD,2012,13100000,0,13100000
885,Silent House,ORF,2012,12800000,347000,13147000
886,Friends with Kids,RAtt.,2012,7300000,5800000,13100000
887,The Well-Digger's Daughter,KL,2012,386000,12200000,12586000
888,Klown,Drft.,2012,68800,12400000,12468800
889,People Like Us,BV,2012,12400000,0,12400000
890,Seeking Justice,Anch.,2012,412000,11900000,12312000
891,Bachelorette,RTWC,2012,448000,11500000,11948000
892,This Must Be the Place,Wein.,2012,144000,11600000,11744000
893,Fun Size,Par.,2012,9400000,2000000,11400000
894,Rec 3: Genesis,Magn.,2012,9600,10100000,10109600
895,Delicacy,Cohen,2012,499000,9200000,9699000
896,Seeking a Friend for the End of the World,Focus,2012,7100000,2600000,9700000
897,The Apparition,WB,2012,4900000,4700000,9600000
898,For Greater Glory,ArcEnt,2012,5700000,4000000,9700000
899,Hysteria,SPC,2012,1800000,7700000,9500000
900,Bernie,MNE,2012,9200000,0,9200000
901,The Sessions,FoxS,2012,6000000,3100000,9100000
902,Ruby Sparks,FoxS,2012,2500000,6600000,9100000
903,Hyde Park on Hudson,Focus,2012,6400000,2500000,8900000
904,On the Road,IFC,2012,744000,8000000,8744000
905,Boy (2012),PalUni,2012,256000,8400000,8656000
906,Piranha 3DD,W/Dim.,2012,377000,8100000,8477000
907,Easy Money (2012),Wein.,2012,206000,8199999,8405999
908,Space Dogs 3D,EpicPics,2012,14400,8300000,8314400
909,Bel Ami,Magn.,2012,120000,8199999,8319999
910,Promised Land (2012),Focus,2012,7600000,541000,8141000
911,Iron Sky,EOne,2012,122000,8000000,8122000
912,Casa De Mi Padre,LGF,2012,5900000,2100000,8000000
913,Heroine,UTV,2012,599000,7400000,7999000
914,A Royal Affair,Magn.,2012,1500000,6000000,7500000
915,All Together,KL,2012,43200,7200000,7243200
916,My Worst Nightmare,Strand,2012,22000,7100000,7122000
917,The Collection,LD,2012,6800000,0,6800000
918,Monsieur Lazhar (U.S.-only),MBox,2012,2000000,4600000,6600000
919,Goon,Magn.,2012,4200000,2300000,6500000
920,Cosmopolis,EOne,2012,764000,5300000,6064000
921,Chasing Mavericks,Fox,2012,6000000,600,6000600
922,Declaration of War,IFC,2012,59100,5800000,5859100
923,Puella Magi Madoka Magica the Movie,Elev.,2012,180000,5600000,5780000
924,Albert Nobbs,RAtt.,2012,3000000,2600000,5600000
925,In Darkness,SPC,2012,1000000,4500000,5500000
926,Won't Back Down,Fox,2012,5300000,0,5300000
927,Farewell My Queen,Cohen,2012,1600000,3700000,5300000
929,Girl in Progress,LGF,2012,2600000,2000000,4600000
930,"Jeff, Who Lives at Home",ParV,2012,4300000,148000,4448000
931,Barbara,AF,2012,1000000,3100000,4100000
932,The Raid: Redemption,SPC,2012,4099999,0,4099999
934,Safety Not Guaranteed,FD,2012,4000000,0,4000000
935,Nitro Circus the Movie 3D,ArcEnt,2012,3400000,526000,3926000
937,The Lady,Cohen,2012,355000,3400000,3755000
938,Branded,RAtt.,2012,354000,3400000,3754000
939,The Rabbi's Cat,GK,2012,23400,3700000,3723400
940,Searching for Sugar Man,SPC,2012,3700000,0,3700000
941,Killer Joe,LD,2012,2000000,1700000,3700000
942,Hara-Kiri: Death of a Samurai,Trib.,2012,75700,3400000,3475700
943,Robot & Frank,Gold.,2012,3300000,0,3300000
944,Raiders of the Lost Ark (IMAX),Par.,2012,3100000,0,3100000
945,Celeste and Jesse Forever,SPC,2012,3100000,0,3100000
946,Jab Tak Hai Jaan,Yash,2012,3000000,0,3000000
947,Intruders,MNE,2012,69100,2900000,2969100
948,Talaash,Relbig.,2012,2900000,0,2900000
949,Barfi!,UTV,2012,2800000,0,2800000
950,A Simple Life,CL,2012,192000,2600000,2792000
951,Samsara,Osci.,2012,2700000,0,2700000
952,Simon and the Oaks,TFA,2012,151000,2400000,2551000
953,Jiro Dreams of Sushi,Magn.,2012,2600000,0,2600000
954,Dabangg 2,Eros,2012,2500000,0,2500000
955,Kid With a Bike,IFC,2012,1500000,1000000,2500000
956,The Queen of Versailles,Magn.,2012,2400000,0,2400000
957,Ek Tha Tiger,Yash,2012,2300000,0,2300000
958,Chico & Rita,GK,2012,351000,1900000,2251000
959,Stolen (2012),MNE,2012,304000,1800000,2104000
960,Footnote,SPC,2012,2000000,0,2000000
961,The Imposter,IM,2012,898000,1100000,1998000
962,Agneepath,Eros,2012,2000000,0,2000000
963,The Day I Saw Your Heart,FM,2012,3500,2000000,2003500
964,English Vinglish,Eros,2012,1900000,0,1900000
